"Rep","Party","State","Vote","Bill","Vote_Question"
"Adams","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Aderholt","Republican","Alabama","Yea","H. R. 788","On Passage"
"Aguilar","Democratic","California","Nay","H. R. 788","On Passage"
"Alford","Republican","Missouri","Yea","H. R. 788","On Passage"
"Allen","Republican","Georgia","Yea","H. R. 788","On Passage"
"Allred","Democratic","Texas","Nay","H. R. 788","On Passage"
"Amo","Democratic","Rhode Island","Nay","H. R. 788","On Passage"
"Amodei","Republican","Nevada","Yea","H. R. 788","On Passage"
"Armstrong","Republican","North Dakota","Yea","H. R. 788","On Passage"
"Arrington","Republican","Texas","Yea","H. R. 788","On Passage"
"Auchincloss","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Babin","Republican","Texas","Yea","H. R. 788","On Passage"
"Bacon","Republican","Nebraska","Yea","H. R. 788","On Passage"
"Baird","Republican","Indiana","Yea","H. R. 788","On Passage"
"Balderson","Republican","Ohio","Yea","H. R. 788","On Passage"
"Balint","Democratic","Vermont","Nay","H. R. 788","On Passage"
"Banks","Republican","Indiana","Yea","H. R. 788","On Passage"
"Barr","Republican","Kentucky","Yea","H. R. 788","On Passage"
"Barragán","Democratic","California","Nay","H. R. 788","On Passage"
"Bean (FL)","Republican","Florida","Yea","H. R. 788","On Passage"
"Beatty","Democratic","Ohio","Not Voting","H. R. 788","On Passage"
"Bentz","Republican","Oregon","Yea","H. R. 788","On Passage"
"Bera","Democratic","California","Nay","H. R. 788","On Passage"
"Bergman","Republican","Michigan","Yea","H. R. 788","On Passage"
"Beyer","Democratic","Virginia","Nay","H. R. 788","On Passage"
"Bice","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Biggs","Republican","Arizona","Yea","H. R. 788","On Passage"
"Bilirakis","Republican","Florida","Yea","H. R. 788","On Passage"
"Bishop (GA)","Democratic","Georgia","Nay","H. R. 788","On Passage"
"Bishop (NC)","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Blumenauer","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Blunt Rochester","Democratic","Delaware","Not Voting","H. R. 788","On Passage"
"Boebert","Republican","Colorado","Not Voting","H. R. 788","On Passage"
"Bonamici","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Bost","Republican","Illinois","Yea","H. R. 788","On Passage"
"Bowman","Democratic","New York","Nay","H. R. 788","On Passage"
"Boyle (PA)","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"Brecheen","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Brown","Democratic","Ohio","Nay","H. R. 788","On Passage"
"Brownley","Democratic","California","Nay","H. R. 788","On Passage"
"Buchanan","Republican","Florida","Yea","H. R. 788","On Passage"
"Buck","Republican","Colorado","Not Voting","H. R. 788","On Passage"
"Bucshon","Republican","Indiana","Yea","H. R. 788","On Passage"
"Budzinski","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Burchett","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Burgess","Republican","Texas","Yea","H. R. 788","On Passage"
"Burlison","Republican","Missouri","Yea","H. R. 788","On Passage"
"Bush","Democratic","Missouri","Nay","H. R. 788","On Passage"
"Calvert","Republican","California","Yea","H. R. 788","On Passage"
"Cammack","Republican","Florida","Yea","H. R. 788","On Passage"
"Caraveo","Democratic","Colorado","Nay","H. R. 788","On Passage"
"Carbajal","Democratic","California","Nay","H. R. 788","On Passage"
"Cárdenas","Democratic","California","Not Voting","H. R. 788","On Passage"
"Carey","Republican","Ohio","Yea","H. R. 788","On Passage"
"Carl","Republican","Alabama","Yea","H. R. 788","On Passage"
"Carson","Democratic","Indiana","Nay","H. R. 788","On Passage"
"Carter (GA)","Republican","Georgia","Yea","H. R. 788","On Passage"
"Carter (LA)","Democratic","Louisiana","Not Voting","H. R. 788","On Passage"
"Carter (TX)","Republican","Texas","Yea","H. R. 788","On Passage"
"Cartwright","Democratic","Pennsylvania","Not Voting","H. R. 788","On Passage"
"Casar","Democratic","Texas","Nay","H. R. 788","On Passage"
"Case","Democratic","Hawaii","Nay","H. R. 788","On Passage"
"Casten","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Castor (FL)","Democratic","Florida","Nay","H. R. 788","On Passage"
"Castro (TX)","Democratic","Texas","Nay","H. R. 788","On Passage"
"Chavez-DeRemer","Republican","Oregon","Yea","H. R. 788","On Passage"
"Cherfilus-McCormick","Democratic","Florida","Nay","H. R. 788","On Passage"
"Chu","Democratic","California","Nay","H. R. 788","On Passage"
"Ciscomani","Republican","Arizona","Yea","H. R. 788","On Passage"
"Clark (MA)","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Clarke (NY)","Democratic","New York","Nay","H. R. 788","On Passage"
"Cleaver","Democratic","Missouri","Nay","H. R. 788","On Passage"
"Cline","Republican","Virginia","Yea","H. R. 788","On Passage"
"Cloud","Republican","Texas","Yea","H. R. 788","On Passage"
"Clyburn","Democratic","South Carolina","Nay","H. R. 788","On Passage"
"Clyde","Republican","Georgia","Yea","H. R. 788","On Passage"
"Cohen","Democratic","Tennessee","Nay","H. R. 788","On Passage"
"Cole","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Collins","Republican","Georgia","Yea","H. R. 788","On Passage"
"Comer","Republican","Kentucky","Yea","H. R. 788","On Passage"
"Connolly","Democratic","Virginia","Nay","H. R. 788","On Passage"
"Correa","Democratic","California","Nay","H. R. 788","On Passage"
"Costa","Democratic","California","Nay","H. R. 788","On Passage"
"Courtney","Democratic","Connecticut","Nay","H. R. 788","On Passage"
"Craig","Democratic","Minnesota","Nay","H. R. 788","On Passage"
"Crane","Republican","Arizona","Yea","H. R. 788","On Passage"
"Crawford","Republican","Arkansas","Yea","H. R. 788","On Passage"
"Crenshaw","Republican","Texas","Yea","H. R. 788","On Passage"
"Crockett","Democratic","Texas","Nay","H. R. 788","On Passage"
"Crow","Democratic","Colorado","Nay","H. R. 788","On Passage"
"Cuellar","Democratic","Texas","Nay","H. R. 788","On Passage"
"Curtis","Republican","Utah","Yea","H. R. 788","On Passage"
"D'Esposito","Republican","New York","Yea","H. R. 788","On Passage"
"Davids (KS)","Democratic","Kansas","Nay","H. R. 788","On Passage"
"Davidson","Republican","Ohio","Yea","H. R. 788","On Passage"
"Davis (IL)","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Davis (NC)","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"De La Cruz","Republican","Texas","Yea","H. R. 788","On Passage"
"Dean (PA)","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"DeGette","Democratic","Colorado","Nay","H. R. 788","On Passage"
"DeLauro","Democratic","Connecticut","Nay","H. R. 788","On Passage"
"DelBene","Democratic","Washington","Nay","H. R. 788","On Passage"
"Deluzio","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"DeSaulnier","Democratic","California","Nay","H. R. 788","On Passage"
"DesJarlais","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Diaz-Balart","Republican","Florida","Yea","H. R. 788","On Passage"
"Dingell","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Doggett","Democratic","Texas","Nay","H. R. 788","On Passage"
"Donalds","Republican","Florida","Yea","H. R. 788","On Passage"
"Duarte","Republican","California","Yea","H. R. 788","On Passage"
"Duncan","Republican","South Carolina","Yea","H. R. 788","On Passage"
"Dunn (FL)","Republican","Florida","Yea","H. R. 788","On Passage"
"Edwards","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Ellzey","Republican","Texas","Yea","H. R. 788","On Passage"
"Emmer","Republican","Minnesota","Yea","H. R. 788","On Passage"
"Escobar","Democratic","Texas","Nay","H. R. 788","On Passage"
"Eshoo","Democratic","California","Nay","H. R. 788","On Passage"
"Espaillat","Democratic","New York","Nay","H. R. 788","On Passage"
"Estes","Republican","Kansas","Yea","H. R. 788","On Passage"
"Evans","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"Ezell","Republican","Mississippi","Yea","H. R. 788","On Passage"
"Fallon","Republican","Texas","Yea","H. R. 788","On Passage"
"Feenstra","Republican","Iowa","Yea","H. R. 788","On Passage"
"Ferguson","Republican","Georgia","Yea","H. R. 788","On Passage"
"Finstad","Republican","Minnesota","Yea","H. R. 788","On Passage"
"Fischbach","Republican","Minnesota","Yea","H. R. 788","On Passage"
"Fitzgerald","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Fitzpatrick","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Fleischmann","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Fletcher","Democratic","Texas","Nay","H. R. 788","On Passage"
"Flood","Republican","Nebraska","Yea","H. R. 788","On Passage"
"Foster","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Foushee","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Foxx","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Frankel, Lois","Democratic","Florida","Nay","H. R. 788","On Passage"
"Franklin, Scott","Republican","Florida","Yea","H. R. 788","On Passage"
"Frost","Democratic","Florida","Nay","H. R. 788","On Passage"
"Fry","Republican","South Carolina","Yea","H. R. 788","On Passage"
"Fulcher","Republican","Idaho","Yea","H. R. 788","On Passage"
"Gaetz","Republican","Florida","Yea","H. R. 788","On Passage"
"Gallagher","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Gallego","Democratic","Arizona","Nay","H. R. 788","On Passage"
"Garamendi","Democratic","California","Nay","H. R. 788","On Passage"
"Garbarino","Republican","New York","Yea","H. R. 788","On Passage"
"García (IL)","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Garcia (TX)","Democratic","Texas","Nay","H. R. 788","On Passage"
"Garcia, Mike","Republican","California","Yea","H. R. 788","On Passage"
"Garcia, Robert","Democratic","California","Nay","H. R. 788","On Passage"
"Gimenez","Republican","Florida","Yea","H. R. 788","On Passage"
"Golden (ME)","Democratic","Maine","Nay","H. R. 788","On Passage"
"Goldman (NY)","Democratic","New York","Nay","H. R. 788","On Passage"
"Gomez","Democratic","California","Nay","H. R. 788","On Passage"
"Gonzales, Tony","Republican","Texas","Yea","H. R. 788","On Passage"
"Gonzalez, Vicente","Democratic","Texas","Nay","H. R. 788","On Passage"
"Good (VA)","Republican","Virginia","Yea","H. R. 788","On Passage"
"Gooden (TX)","Republican","Texas","Yea","H. R. 788","On Passage"
"Gosar","Republican","Arizona","Not Voting","H. R. 788","On Passage"
"Gottheimer","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Granger","Republican","Texas","Yea","H. R. 788","On Passage"
"Graves (LA)","Republican","Louisiana","Yea","H. R. 788","On Passage"
"Graves (MO)","Republican","Missouri","Yea","H. R. 788","On Passage"
"Green (TN)","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Green, Al (TX)","Democratic","Texas","Nay","H. R. 788","On Passage"
"Greene (GA)","Republican","Georgia","Yea","H. R. 788","On Passage"
"Griffith","Republican","Virginia","Yea","H. R. 788","On Passage"
"Grijalva","Democratic","Arizona","Nay","H. R. 788","On Passage"
"Grothman","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Guest","Republican","Mississippi","Yea","H. R. 788","On Passage"
"Guthrie","Republican","Kentucky","Yea","H. R. 788","On Passage"
"Hageman","Republican","Wyoming","Yea","H. R. 788","On Passage"
"Harder (CA)","Democratic","California","Nay","H. R. 788","On Passage"
"Harris","Republican","Maryland","Yea","H. R. 788","On Passage"
"Harshbarger","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Hayes","Democratic","Connecticut","Nay","H. R. 788","On Passage"
"Hern","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Higgins (LA)","Republican","Louisiana","Yea","H. R. 788","On Passage"
"Higgins (NY)","Democratic","New York","Nay","H. R. 788","On Passage"
"Hill","Republican","Arkansas","Yea","H. R. 788","On Passage"
"Himes","Democratic","Connecticut","Nay","H. R. 788","On Passage"
"Hinson","Republican","Iowa","Not Voting","H. R. 788","On Passage"
"Horsford","Democratic","Nevada","Nay","H. R. 788","On Passage"
"Houchin","Republican","Indiana","Yea","H. R. 788","On Passage"
"Houlahan","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"Hoyer","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Hoyle (OR)","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Hudson","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Huffman","Democratic","California","Nay","H. R. 788","On Passage"
"Huizenga","Republican","Michigan","Yea","H. R. 788","On Passage"
"Hunt","Republican","Texas","Yea","H. R. 788","On Passage"
"Issa","Republican","California","Yea","H. R. 788","On Passage"
"Ivey","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Jackson (IL)","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Jackson (NC)","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Jackson (TX)","Republican","Texas","Yea","H. R. 788","On Passage"
"Jackson Lee","Democratic","Texas","Nay","H. R. 788","On Passage"
"Jacobs","Democratic","California","Nay","H. R. 788","On Passage"
"James","Republican","Michigan","Yea","H. R. 788","On Passage"
"Jayapal","Democratic","Washington","Nay","H. R. 788","On Passage"
"Jeffries","Democratic","New York","Not Voting","H. R. 788","On Passage"
"Johnson (GA)","Democratic","Georgia","Nay","H. R. 788","On Passage"
"Johnson (OH)","Republican","Ohio","Yea","H. R. 788","On Passage"
"Johnson (SD)","Republican","South Dakota","Yea","H. R. 788","On Passage"
"Jordan","Republican","Ohio","Yea","H. R. 788","On Passage"
"Joyce (OH)","Republican","Ohio","Yea","H. R. 788","On Passage"
"Joyce (PA)","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Kamlager-Dove","Democratic","California","Nay","H. R. 788","On Passage"
"Kaptur","Democratic","Ohio","Nay","H. R. 788","On Passage"
"Kean (NJ)","Republican","New Jersey","Yea","H. R. 788","On Passage"
"Keating","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Kelly (IL)","Democratic","Illinois","Not Voting","H. R. 788","On Passage"
"Kelly (MS)","Republican","Mississippi","Yea","H. R. 788","On Passage"
"Kelly (PA)","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Khanna","Democratic","California","Nay","H. R. 788","On Passage"
"Kiggans (VA)","Republican","Virginia","Yea","H. R. 788","On Passage"
"Kildee","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Kiley","Republican","California","Yea","H. R. 788","On Passage"
"Kilmer","Democratic","Washington","Nay","H. R. 788","On Passage"
"Kim (CA)","Republican","California","Yea","H. R. 788","On Passage"
"Kim (NJ)","Democratic","New Jersey","Not Voting","H. R. 788","On Passage"
"Krishnamoorthi","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Kuster","Democratic","New Hampshire","Not Voting","H. R. 788","On Passage"
"Kustoff","Republican","Tennessee","Yea","H. R. 788","On Passage"
"LaHood","Republican","Illinois","Yea","H. R. 788","On Passage"
"LaLota","Republican","New York","Yea","H. R. 788","On Passage"
"LaMalfa","Republican","California","Yea","H. R. 788","On Passage"
"Lamborn","Republican","Colorado","Yea","H. R. 788","On Passage"
"Landsman","Democratic","Ohio","Nay","H. R. 788","On Passage"
"Langworthy","Republican","New York","Not Voting","H. R. 788","On Passage"
"Larsen (WA)","Democratic","Washington","Nay","H. R. 788","On Passage"
"Larson (CT)","Democratic","Connecticut","Nay","H. R. 788","On Passage"
"Latta","Republican","Ohio","Yea","H. R. 788","On Passage"
"LaTurner","Republican","Kansas","Yea","H. R. 788","On Passage"
"Lawler","Republican","New York","Yea","H. R. 788","On Passage"
"Lee (CA)","Democratic","California","Nay","H. R. 788","On Passage"
"Lee (FL)","Republican","Florida","Yea","H. R. 788","On Passage"
"Lee (NV)","Democratic","Nevada","Nay","H. R. 788","On Passage"
"Lee (PA)","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"Leger Fernandez","Democratic","New Mexico","Nay","H. R. 788","On Passage"
"Lesko","Republican","Arizona","Yea","H. R. 788","On Passage"
"Letlow","Republican","Louisiana","Yea","H. R. 788","On Passage"
"Levin","Democratic","California","Nay","H. R. 788","On Passage"
"Lieu","Democratic","California","Nay","H. R. 788","On Passage"
"Lofgren","Democratic","California","Nay","H. R. 788","On Passage"
"Loudermilk","Republican","Georgia","Yea","H. R. 788","On Passage"
"Lucas","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Luetkemeyer","Republican","Missouri","Yea","H. R. 788","On Passage"
"Luna","Republican","Florida","Yea","H. R. 788","On Passage"
"Luttrell","Republican","Texas","Yea","H. R. 788","On Passage"
"Lynch","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Mace","Republican","South Carolina","Yea","H. R. 788","On Passage"
"Magaziner","Democratic","Rhode Island","Nay","H. R. 788","On Passage"
"Malliotakis","Republican","New York","Yea","H. R. 788","On Passage"
"Maloy","Republican","Utah","Yea","H. R. 788","On Passage"
"Mann","Republican","Kansas","Yea","H. R. 788","On Passage"
"Manning","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Massie","Republican","Kentucky","Yea","H. R. 788","On Passage"
"Mast","Republican","Florida","Yea","H. R. 788","On Passage"
"Matsui","Democratic","California","Nay","H. R. 788","On Passage"
"McBath","Democratic","Georgia","Nay","H. R. 788","On Passage"
"McCaul","Republican","Texas","Yea","H. R. 788","On Passage"
"McClain","Republican","Michigan","Yea","H. R. 788","On Passage"
"McClellan","Democratic","Virginia","Nay","H. R. 788","On Passage"
"McClintock","Republican","California","Yea","H. R. 788","On Passage"
"McCollum","Democratic","Minnesota","Nay","H. R. 788","On Passage"
"McCormick","Republican","Georgia","Yea","H. R. 788","On Passage"
"McGarvey","Democratic","Kentucky","Nay","H. R. 788","On Passage"
"McGovern","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"McHenry","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Meeks","Democratic","New York","Nay","H. R. 788","On Passage"
"Menendez","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Meng","Democratic","New York","Nay","H. R. 788","On Passage"
"Meuser","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Mfume","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Miller (IL)","Republican","Illinois","Yea","H. R. 788","On Passage"
"Miller (OH)","Republican","Ohio","Yea","H. R. 788","On Passage"
"Miller (WV)","Republican","West Virginia","Yea","H. R. 788","On Passage"
"Miller-Meeks","Republican","Iowa","Yea","H. R. 788","On Passage"
"Mills","Republican","Florida","Yea","H. R. 788","On Passage"
"Molinaro","Republican","New York","Yea","H. R. 788","On Passage"
"Moolenaar","Republican","Michigan","Yea","H. R. 788","On Passage"
"Mooney","Republican","West Virginia","Yea","H. R. 788","On Passage"
"Moore (AL)","Republican","Alabama","Yea","H. R. 788","On Passage"
"Moore (UT)","Republican","Utah","Yea","H. R. 788","On Passage"
"Moore (WI)","Democratic","Wisconsin","Nay","H. R. 788","On Passage"
"Moran","Republican","Texas","Yea","H. R. 788","On Passage"
"Morelle","Democratic","New York","Nay","H. R. 788","On Passage"
"Moskowitz","Democratic","Florida","Nay","H. R. 788","On Passage"
"Moulton","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Mrvan","Democratic","Indiana","Nay","H. R. 788","On Passage"
"Mullin","Democratic","California","Nay","H. R. 788","On Passage"
"Murphy","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Nadler","Democratic","New York","Nay","H. R. 788","On Passage"
"Napolitano","Democratic","California","Nay","H. R. 788","On Passage"
"Neal","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Neguse","Democratic","Colorado","Nay","H. R. 788","On Passage"
"Nehls","Republican","Texas","Yea","H. R. 788","On Passage"
"Newhouse","Republican","Washington","Yea","H. R. 788","On Passage"
"Nickel","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Norcross","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Norman","Republican","South Carolina","Yea","H. R. 788","On Passage"
"Nunn (IA)","Republican","Iowa","Not Voting","H. R. 788","On Passage"
"Obernolte","Republican","California","Yea","H. R. 788","On Passage"
"Ocasio-Cortez","Democratic","New York","Nay","H. R. 788","On Passage"
"Ogles","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Omar","Democratic","Minnesota","Nay","H. R. 788","On Passage"
"Owens","Republican","Utah","Yea","H. R. 788","On Passage"
"Pallone","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Palmer","Republican","Alabama","Yea","H. R. 788","On Passage"
"Panetta","Democratic","California","Nay","H. R. 788","On Passage"
"Pappas","Democratic","New Hampshire","Not Voting","H. R. 788","On Passage"
"Pascrell","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Payne","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Pelosi","Democratic","California","Nay","H. R. 788","On Passage"
"Peltola","Democratic","Alaska","Nay","H. R. 788","On Passage"
"Pence","Republican","Indiana","Yea","H. R. 788","On Passage"
"Perez","Democratic","Washington","Nay","H. R. 788","On Passage"
"Perry","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Peters","Democratic","California","Nay","H. R. 788","On Passage"
"Pettersen","Democratic","Colorado","Nay","H. R. 788","On Passage"
"Pfluger","Republican","Texas","Yea","H. R. 788","On Passage"
"Phillips","Democratic","Minnesota","Not Voting","H. R. 788","On Passage"
"Pingree","Democratic","Maine","Nay","H. R. 788","On Passage"
"Pocan","Democratic","Wisconsin","Nay","H. R. 788","On Passage"
"Porter","Democratic","California","Nay","H. R. 788","On Passage"
"Posey","Republican","Florida","Yea","H. R. 788","On Passage"
"Pressley","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Quigley","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Ramirez","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Raskin","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Reschenthaler","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Rodgers (WA)","Republican","Washington","Yea","H. R. 788","On Passage"
"Rogers (AL)","Republican","Alabama","Yea","H. R. 788","On Passage"
"Rogers (KY)","Republican","Kentucky","Not Voting","H. R. 788","On Passage"
"Rose","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Rosendale","Republican","Montana","Yea","H. R. 788","On Passage"
"Ross","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Rouzer","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Roy","Republican","Texas","Yea","H. R. 788","On Passage"
"Ruiz","Democratic","California","Nay","H. R. 788","On Passage"
"Ruppersberger","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Rutherford","Republican","Florida","Yea","H. R. 788","On Passage"
"Ryan","Democratic","New York","Nay","H. R. 788","On Passage"
"Salazar","Republican","Florida","Yea","H. R. 788","On Passage"
"Salinas","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Sánchez","Democratic","California","Nay","H. R. 788","On Passage"
"Sarbanes","Democratic","Maryland","Nay","H. R. 788","On Passage"
"Scalise","Republican","Louisiana","Not Voting","H. R. 788","On Passage"
"Scanlon","Democratic","Pennsylvania","Not Voting","H. R. 788","On Passage"
"Schakowsky","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Schiff","Democratic","California","Nay","H. R. 788","On Passage"
"Schneider","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Scholten","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Schrier","Democratic","Washington","Nay","H. R. 788","On Passage"
"Schweikert","Republican","Arizona","Yea","H. R. 788","On Passage"
"Scott (VA)","Democratic","Virginia","Nay","H. R. 788","On Passage"
"Scott, Austin","Republican","Georgia","Yea","H. R. 788","On Passage"
"Scott, David","Democratic","Georgia","Nay","H. R. 788","On Passage"
"Self","Republican","Texas","Yea","H. R. 788","On Passage"
"Sessions","Republican","Texas","Yea","H. R. 788","On Passage"
"Sewell","Democratic","Alabama","Nay","H. R. 788","On Passage"
"Sherman","Democratic","California","Nay","H. R. 788","On Passage"
"Sherrill","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Simpson","Republican","Idaho","Yea","H. R. 788","On Passage"
"Slotkin","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Smith (MO)","Republican","Missouri","Yea","H. R. 788","On Passage"
"Smith (NE)","Republican","Nebraska","Yea","H. R. 788","On Passage"
"Smith (NJ)","Republican","New Jersey","Yea","H. R. 788","On Passage"
"Smith (WA)","Democratic","Washington","Nay","H. R. 788","On Passage"
"Smucker","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Sorensen","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Soto","Democratic","Florida","Nay","H. R. 788","On Passage"
"Spanberger","Democratic","Virginia","Nay","H. R. 788","On Passage"
"Spartz","Republican","Indiana","Yea","H. R. 788","On Passage"
"Stansbury","Democratic","New Mexico","Nay","H. R. 788","On Passage"
"Stanton","Democratic","Arizona","Nay","H. R. 788","On Passage"
"Stauber","Republican","Minnesota","Yea","H. R. 788","On Passage"
"Steel","Republican","California","Yea","H. R. 788","On Passage"
"Stefanik","Republican","New York","Yea","H. R. 788","On Passage"
"Steil","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Steube","Republican","Florida","Yea","H. R. 788","On Passage"
"Stevens","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Strickland","Democratic","Washington","Nay","H. R. 788","On Passage"
"Strong","Republican","Alabama","Yea","H. R. 788","On Passage"
"Swalwell","Democratic","California","Nay","H. R. 788","On Passage"
"Sykes","Democratic","Ohio","Nay","H. R. 788","On Passage"
"Takano","Democratic","California","Nay","H. R. 788","On Passage"
"Tenney","Republican","New York","Yea","H. R. 788","On Passage"
"Thanedar","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Thompson (CA)","Democratic","California","Nay","H. R. 788","On Passage"
"Thompson (MS)","Democratic","Mississippi","Nay","H. R. 788","On Passage"
"Thompson (PA)","Republican","Pennsylvania","Yea","H. R. 788","On Passage"
"Tiffany","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Timmons","Republican","South Carolina","Yea","H. R. 788","On Passage"
"Titus","Democratic","Nevada","Nay","H. R. 788","On Passage"
"Tlaib","Democratic","Michigan","Nay","H. R. 788","On Passage"
"Tokuda","Democratic","Hawaii","Nay","H. R. 788","On Passage"
"Tonko","Democratic","New York","Nay","H. R. 788","On Passage"
"Torres (CA)","Democratic","California","Nay","H. R. 788","On Passage"
"Torres (NY)","Democratic","New York","Nay","H. R. 788","On Passage"
"Trahan","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Trone","Democratic","Maryland","Not Voting","H. R. 788","On Passage"
"Turner","Republican","Ohio","Yea","H. R. 788","On Passage"
"Underwood","Democratic","Illinois","Not Voting","H. R. 788","On Passage"
"Valadao","Republican","California","Yea","H. R. 788","On Passage"
"Van Drew","Republican","New Jersey","Yea","H. R. 788","On Passage"
"Van Duyne","Republican","Texas","Yea","H. R. 788","On Passage"
"Van Orden","Republican","Wisconsin","Yea","H. R. 788","On Passage"
"Vargas","Democratic","California","Nay","H. R. 788","On Passage"
"Vasquez","Democratic","New Mexico","Nay","H. R. 788","On Passage"
"Veasey","Democratic","Texas","Nay","H. R. 788","On Passage"
"Velázquez","Democratic","New York","Nay","H. R. 788","On Passage"
"Wagner","Republican","Missouri","Yea","H. R. 788","On Passage"
"Walberg","Republican","Michigan","Yea","H. R. 788","On Passage"
"Waltz","Republican","Florida","Yea","H. R. 788","On Passage"
"Wasserman Schultz","Democratic","Florida","Nay","H. R. 788","On Passage"
"Waters","Democratic","California","Nay","H. R. 788","On Passage"
"Watson Coleman","Democratic","New Jersey","Nay","H. R. 788","On Passage"
"Weber (TX)","Republican","Texas","Yea","H. R. 788","On Passage"
"Webster (FL)","Republican","Florida","Yea","H. R. 788","On Passage"
